Original;Remix;Total;Clones_Original;Clones_Only_Remix;Clones_Between_Projects
98603094.sb;98607744.sb;0;0;0;0
98118965.sb;98607799.sb;0;0;0;0
98598561.sb;98607806.sb;895;426;426;43
98607590.sb;98607819.sb;172;67;67;38
98605295.sb;98607891.sb;0;0;0;0
98607672.sb;98607916.sb;48;16;20;12
98607507.sb;98608017.sb;168;103;27;38
98606469.sb;98608042.sb;29;10;10;9
98602887.sb;98608054.sb;0;0;0;0
98605295.sb;98608060.sb;0;0;0;0
98594569.sb;98608090.sb;0;0;0;0
98607660.sb;98608223.sb;172;67;67;38
98605263.sb;98608379.sb;0;0;0;0
98597536.sb;98608431.sb;2;1;1;0
98569361.sb;98608528.sb;0;0;0;0
98604411.sb;98608565.sb;0;0;0;0
98607104.sb;98608753.sb;247;162;56;29
98564839.sb;98608791.sb;0;0;0;0
98608379.sb;98608814.sb;0;0;0;0
98556144.sb;98608857.sb;0;0;0;0
98608814.sb;98609071.sb;0;0;0;0
98608951.sb;98609199.sb;23;8;8;7
98484204.sb;98609209.sb;149;68;68;13
98606169.sb;98609344.sb;0;0;0;0
98558844.sb;98609424.sb;6;3;3;0
98608223.sb;98609548.sb;172;67;67;38
96994939.sb;98609595.sb;550;406;69;75
98609344.sb;98609597.sb;0;0;0;0
98606848.sb;98609622.sb;22;8;8;6
98609548.sb;98609650.sb;172;67;67;38
98609650.sb;98609751.sb;172;67;67;38
98609751.sb;98609905.sb;172;67;67;38
98561627.sb;98609916.sb;14;10;4;0
98609209.sb;98609939.sb;152;69;70;13
98609905.sb;98609986.sb;172;67;67;38
98606469.sb;98610013.sb;29;10;10;9
98608017.sb;98610063.sb;212;109;58;45
98609597.sb;98610100.sb;0;0;0;0
98606896.sb;98610117.sb;0;0;0;0
98609986.sb;98610205.sb;172;67;67;38
98610205.sb;98610244.sb;172;67;67;38
98610100.sb;98610331.sb;0;0;0;0
98606758.sb;98610336.sb;0;0;0;0
98610244.sb;98610355.sb;172;67;67;38
98566112.sb;98610419.sb;0;0;0;0
98605263.sb;98610450.sb;0;0;0;0
98609071.sb;98610457.sb;0;0;0;0
98605771.sb;98610616.sb;0;0;0;0
98609986.sb;98610686.sb;172;67;67;38
98604922.sb;98610777.sb;3;1;2;0
98469384.sb;98610804.sb;7;3;4;0
98606739.sb;98610839.sb;2;1;1;0
98564924.sb;98610861.sb;8;3;5;0
98562977.sb;98610896.sb;0;0;0;0
98610355.sb;98611019.sb;172;67;67;38
98564073.sb;98611091.sb;0;0;0;0
98611019.sb;98611151.sb;172;67;67;38
98549704.sb;98611183.sb;0;0;0;0
98611151.sb;98611278.sb;172;67;67;38
98610331.sb;98611280.sb;0;0;0;0
98611278.sb;98611351.sb;172;67;67;38
98605473.sb;98611416.sb;0;0;0;0
98611351.sb;98611484.sb;172;67;67;38
98557174.sb;98611525.sb;4;2;2;0
98611484.sb;98611651.sb;172;67;67;38
98609939.sb;98611671.sb;155;71;70;14
98610336.sb;98611733.sb;0;0;0;0
98608814.sb;98611764.sb;0;0;0;0
98611764.sb;98611835.sb;0;0;0;0
98600773.sb;98611949.sb;8;4;4;0
98610457.sb;98612070.sb;0;0;0;0
98596172.sb;98612176.sb;0;0;0;0
98552644.sb;98612345.sb;9;9;0;0
98574018.sb;98612444.sb;0;0;0;0
98605238.sb;98612491.sb;2;1;1;0
98504812.sb;98612507.sb;152;97;32;23
98611690.sb;98612572.sb;515;245;143;127
98569361.sb;98612583.sb;1;0;1;0
98610336.sb;98612754.sb;0;0;0;0
98610810.sb;98612885.sb;0;0;0;0
98490353.sb;98613218.sb;19;19;0;0
98576449.sb;98613410.sb;35;17;17;1
98609152.sb;98613451.sb;0;0;0;0
98367511.sb;98613920.sb;8;4;4;0
98607916.sb;98613951.sb;57;34;13;10
98539178.sb;98613970.sb;336;155;134;47
98547231.sb;98613975.sb;2;0;2;0
98610713.sb;98614129.sb;92;49;36;7
98511875.sb;98614173.sb;13;1;7;5
98602878.sb;98614178.sb;0;0;0;0
98559805.sb;98614301.sb;186;99;69;18
98550525.sb;98614354.sb;42;21;21;0
98609939.sb;98614459.sb;155;71;70;14
98539410.sb;98614480.sb;167;20;116;31
98507847.sb;98614563.sb;0;0;0;0
98606896.sb;98614627.sb;4;0;3;1
98592915.sb;98614748.sb;0;0;0;0
98613749.sb;98614778.sb;4;0;4;0
98613951.sb;98614799.sb;62;38;14;10
98614445.sb;98614908.sb;4;2;2;0
