Original;Remix;Total;Clones_Original;Clones_Only_Remix;Clones_Between_Projects
98549407.sb;98601715.sb;3;2;1;0
98597227.sb;98601739.sb;0;0;0;0
98552644.sb;98601750.sb;9;9;0;0
98507847.sb;98601752.sb;0;0;0;0
98566253.sb;98601790.sb;7;2;4;1
98284822.sb;98601882.sb;15;0;15;0
98601330.sb;98601906.sb;0;0;0;0
98570550.sb;98601908.sb;183;80;64;39
98586899.sb;98601918.sb;25;12;12;1
98601670.sb;98601944.sb;0;0;0;0
98565719.sb;98601958.sb;0;0;0;0
98552644.sb;98601964.sb;9;9;0;0
98601388.sb;98602028.sb;0;0;0;0
98598561.sb;98602050.sb;897;426;423;48
98598070.sb;98602061.sb;172;67;67;38
98601791.sb;98602107.sb;2;1;1;0
98581242.sb;98602170.sb;5;0;5;0
98563524.sb;98602294.sb;14;0;14;0
98569717.sb;98602398.sb;0;0;0;0
97722452.sb;98602418.sb;0;0;0;0
98565954.sb;98602419.sb;78;34;26;18
98598328.sb;98602430.sb;0;0;0;0
98562501.sb;98602602.sb;0;0;0;0
98599612.sb;98602655.sb;3;3;0;0
98600522.sb;98602688.sb;0;0;0;0
98600522.sb;98602859.sb;0;0;0;0
98599392.sb;98602914.sb;0;0;0;0
98136496.sb;98602953.sb;0;0;0;0
98602419.sb;98602976.sb;101;41;43;17
98602460.sb;98602984.sb;0;0;0;0
98601296.sb;98603015.sb;2;1;1;0
98532482.sb;98603094.sb;0;0;0;0
98567210.sb;98603105.sb;0;0;0;0
98563849.sb;98603356.sb;4;0;4;0
98470616.sb;98603383.sb;0;0;0;0
98595865.sb;98603470.sb;199;103;46;50
98602976.sb;98603481.sb;98;43;31;24
98599765.sb;98603656.sb;6;3;3;0
98601345.sb;98603912.sb;29;10;15;4
98491794.sb;98603961.sb;27;13;13;1
98603481.sb;98604029.sb;118;58;38;22
98591194.sb;98604112.sb;4;2;2;0
98594718.sb;98604209.sb;0;0;0;0
98604029.sb;98604647.sb;118;58;38;22
98597941.sb;98604721.sb;137;84;24;29
98602268.sb;98604737.sb;2;0;2;0
98602917.sb;98604872.sb;0;0;0;0
98331832.sb;98604936.sb;119;54;50;15
98603912.sb;98604950.sb;35;15;13;7
98603886.sb;98604971.sb;0;0;0;0
98604950.sb;98605160.sb;36;16;13;7
98602878.sb;98605263.sb;0;0;0;0
98561627.sb;98605380.sb;122;10;112;0
98566038.sb;98605446.sb;340;179;88;73
98604647.sb;98605458.sb;122;58;42;22
98569647.sb;98605473.sb;0;0;0;0
98602061.sb;98605501.sb;172;67;67;38
98605160.sb;98605530.sb;36;16;13;7
98571085.sb;98605550.sb;58;1;57;0
98576449.sb;98605660.sb;35;17;17;1
98503507.sb;98605693.sb;0;0;0;0
98603105.sb;98605736.sb;0;0;0;0
98605501.sb;98605767.sb;172;67;67;38
98605767.sb;98605838.sb;172;67;67;38
98602028.sb;98605848.sb;0;0;0;0
98605458.sb;98605901.sb;186;62;89;35
98605767.sb;98605904.sb;172;67;67;38
97782106.sb;98606010.sb;59;23;24;12
98576868.sb;98606146.sb;77;33;32;12
98605736.sb;98606169.sb;0;0;0;0
98605838.sb;98606178.sb;172;67;67;38
98542579.sb;98606229.sb;29;10;10;9
98605550.sb;98606293.sb;58;57;1;0
98569864.sb;98606466.sb;15;3;12;0
98542579.sb;98606469.sb;29;10;10;9
98598861.sb;98606569.sb;558;276;211;71
98594718.sb;98606595.sb;0;0;0;0
98562977.sb;98606602.sb;0;0;0;0
98606178.sb;98606639.sb;172;67;67;38
98605530.sb;98606641.sb;36;16;13;7
98561900.sb;98606758.sb;0;0;0;0
98606293.sb;98606794.sb;60;1;58;1
98542579.sb;98606822.sb;29;10;10;9
98606639.sb;98606830.sb;172;67;67;38
98606466.sb;98606843.sb;33;12;14;7
98605901.sb;98606866.sb;232;99;99;34
98575996.sb;98606886.sb;0;0;0;0
98606639.sb;98606975.sb;172;67;67;38
98604396.sb;98607087.sb;0;0;0;0
98577505.sb;98607111.sb;0;0;0;0
98539340.sb;98607134.sb;52;22;20;10
98605736.sb;98607203.sb;0;0;0;0
98604611.sb;98607268.sb;34;17;17;0
98605954.sb;98607307.sb;0;0;0;0
98606866.sb;98607507.sb;238;99;103;36
98554124.sb;98607575.sb;128;62;50;16
98606975.sb;98607590.sb;172;67;67;38
98542579.sb;98607592.sb;30;10;11;9
98607590.sb;98607660.sb;172;67;67;38
98606641.sb;98607672.sb;36;16;13;7
