Original;Remix;Total;Clones_Original;Clones_Only_Remix;Clones_Between_Projects
98482398.sb;98488422.sb;0;0;0;0
98200147.sb;98488885.sb;0;0;0;0
98488885.sb;98491012.sb;0;0;0;0
98488004.sb;98491123.sb;0;0;0;0
98488188.sb;98491196.sb;2;0;2;0
98198909.sb;98491212.sb;7;3;4;0
98477662.sb;98491633.sb;60;60;0;0
98485604.sb;98492114.sb;9;4;4;1
98486667.sb;98492179.sb;0;0;0;0
98487816.sb;98492307.sb;5;0;5;0
98199798.sb;98492875.sb;8;0;7;1
98199440.sb;98493017.sb;0;0;0;0
98487810.sb;98493071.sb;0;0;0;0
98480266.sb;98493086.sb;4;2;2;0
98488893.sb;98493401.sb;0;0;0;0
95604314.sb;98493465.sb;420;328;53;39
98487727.sb;98494112.sb;14;6;6;2
96857724.sb;98494792.sb;13;6;6;1
98199356.sb;98495035.sb;2;0;2;0
98470360.sb;98495945.sb;0;0;0;0
98494635.sb;98497384.sb;2;1;1;0
98488563.sb;98498061.sb;0;0;0;0
98498061.sb;98499122.sb;0;0;0;0
98474436.sb;98499471.sb;199;71;106;22
98498061.sb;98499992.sb;0;0;0;0
98499122.sb;98500327.sb;0;0;0;0
98492200.sb;98500644.sb;0;0;0;0
98497804.sb;98501127.sb;621;493;94;34
98500327.sb;98501495.sb;0;0;0;0
98499122.sb;98502272.sb;0;0;0;0
98499393.sb;98502661.sb;0;0;0;0
98482041.sb;98503674.sb;2;1;1;0
98501495.sb;98504864.sb;0;0;0;0
95853368.sb;98504943.sb;0;0;0;0
98504864.sb;98505876.sb;0;0;0;0
97555789.sb;98508539.sb;8;4;4;0
98505876.sb;98508756.sb;0;0;0;0
98484095.sb;98508775.sb;1;1;0;0
98492144.sb;98509109.sb;0;0;0;0
98508756.sb;98509177.sb;0;0;0;0
98468332.sb;98509659.sb;27;11;11;5
95980744.sb;98510112.sb;2;1;1;0
97555789.sb;98510363.sb;8;4;4;0
97555789.sb;98511023.sb;8;4;4;0
98489861.sb;98511075.sb;667;254;271;142
98510502.sb;98511751.sb;12;10;2;0
98498785.sb;98513051.sb;2365;1149;901;315
98503988.sb;98513217.sb;0;0;0;0
97723960.sb;98513297.sb;15;6;6;3
98502757.sb;98513668.sb;642;281;234;127
98513861.sb;98514144.sb;24;6;16;2
98513051.sb;98514384.sb;2173;1201;635;337
98514144.sb;98514527.sb;8290;16;7811;463
97186185.sb;98514839.sb;0;0;0;0
98499348.sb;98515114.sb;0;0;0;0
98508592.sb;98515638.sb;2;1;1;0
98514988.sb;98515752.sb;15;7;6;2
98461078.sb;98516457.sb;0;0;0;0
98487634.sb;98516527.sb;0;0;0;0
98499867.sb;98517135.sb;0;0;0;0
97555789.sb;98517709.sb;8;4;4;0
98481574.sb;98518037.sb;0;0;0;0
98516604.sb;98518635.sb;16;7;7;2
98501108.sb;98518841.sb;0;0;0;0
98518128.sb;98519644.sb;29;0;29;0
98518037.sb;98521170.sb;0;0;0;0
98515682.sb;98522037.sb;0;0;0;0
98517637.sb;98522714.sb;7;3;3;1
92587006.sb;98523667.sb;754;360;360;34
98515677.sb;98523939.sb;8;3;3;2
98449730.sb;98523972.sb;6;0;6;0
97828454.sb;98524811.sb;0;0;0;0
98509592.sb;98525551.sb;0;0;0;0
97740940.sb;98526028.sb;2387;1177;1159;51
98511751.sb;98526363.sb;4;2;2;0
83514488.sb;98526630.sb;0;0;0;0
98475884.sb;98526659.sb;0;0;0;0
97738317.sb;98526726.sb;0;0;0;0
98526659.sb;98526849.sb;0;0;0;0
98522364.sb;98527186.sb;0;0;0;0
98527186.sb;98527292.sb;0;0;0;0
98527292.sb;98527404.sb;0;0;0;0
98526363.sb;98527497.sb;4;2;2;0
98527404.sb;98527665.sb;0;0;0;0
98496931.sb;98527918.sb;0;0;0;0
98527665.sb;98527933.sb;0;0;0;0
97828454.sb;98528796.sb;0;0;0;0
98475884.sb;98529043.sb;0;0;0;0
98517723.sb;98529367.sb;7;7;0;0
98367341.sb;98529488.sb;26;0;21;5
98487096.sb;98529746.sb;138;47;62;29
98513683.sb;98530116.sb;0;0;0;0
98526849.sb;98530317.sb;0;0;0;0
98521170.sb;98530806.sb;0;0;0;0
98530317.sb;98531122.sb;0;0;0;0
98520080.sb;98531156.sb;4;2;2;0
98520080.sb;98531162.sb;2;2;0;0
98520080.sb;98531168.sb;2;2;0;0
98520080.sb;98531178.sb;2;2;0;0
98520080.sb;98531193.sb;5;2;2;1
