Original;Remix;Total;Clones_Original;Clones_Only_Remix;Clones_Between_Projects
98594278.sb;98594322.sb;172;67;67;38
98592889.sb;98594365.sb;0;0;0;0
98594322.sb;98594366.sb;172;67;67;38
98594366.sb;98594547.sb;172;67;67;38
98594547.sb;98594671.sb;172;67;67;38
98563739.sb;98594672.sb;181;97;37;47
98562927.sb;98594715.sb;0;0;0;0
98593965.sb;98594795.sb;113;64;31;18
98594671.sb;98594888.sb;172;67;67;38
98593529.sb;98594929.sb;1;1;0;0
98594888.sb;98594947.sb;172;67;67;38
98594947.sb;98595104.sb;172;67;67;38
98594947.sb;98595132.sb;172;67;67;38
98594214.sb;98595255.sb;27;11;13;3
98595132.sb;98595293.sb;172;67;67;38
98574616.sb;98595306.sb;7;3;3;1
98595293.sb;98595330.sb;172;67;67;38
98589778.sb;98595348.sb;0;0;0;0
98595330.sb;98595360.sb;172;67;67;38
98570151.sb;98595402.sb;6;0;6;0
98654231.sb;98929432.sb;45;17;17;11
98595179.sb;98595468.sb;68;32;32;4
98594101.sb;98595508.sb;2;1;1;0
98595360.sb;98595587.sb;172;67;67;38
98594065.sb;98595680.sb;0;0;0;0
98592902.sb;98595803.sb;0;0;0;0
98571469.sb;98595865.sb;190;98;43;49
98593969.sb;98596017.sb;6;2;3;1
98595587.sb;98596134.sb;172;67;67;38
98554088.sb;98596172.sb;0;0;0;0
98596144.sb;98596218.sb;7;3;3;1
98537052.sb;98596219.sb;5;0;4;1
98591314.sb;98596249.sb;0;0;0;0
98595468.sb;98596353.sb;66;34;29;3
98563088.sb;98596410.sb;0;0;0;0
98595936.sb;98596487.sb;120;73;19;28
98596487.sb;98596552.sb;120;73;19;28
98593438.sb;98596672.sb;0;0;0;0
98554921.sb;98596743.sb;0;0;0;0
98499867.sb;98596750.sb;0;0;0;0
98593065.sb;98596903.sb;0;0;0;0
98594929.sb;98596913.sb;0;0;0;0
98593597.sb;98597047.sb;895;426;426;43
98552644.sb;98597080.sb;9;9;0;0
98552644.sb;98597097.sb;24;9;9;6
98596172.sb;98597242.sb;0;0;0;0
98596552.sb;98597378.sb;120;73;19;28
98589559.sb;98597459.sb;56;28;28;0
98539471.sb;98597521.sb;0;0;0;0
98594234.sb;98597549.sb;10;4;4;2
98594101.sb;98597559.sb;2;1;1;0
98597378.sb;98597605.sb;123;73;21;29
98596913.sb;98597658.sb;2;0;2;0
98597605.sb;98597848.sb;124;75;22;27
98585402.sb;98597855.sb;1;0;1;0
98597284.sb;98597861.sb;652;352;187;113
98595865.sb;98597912.sb;198;103;45;50
98463219.sb;98597933.sb;230;124;82;24
98597848.sb;98597941.sb;130;76;24;30
98592855.sb;98597981.sb;7;5;2;0
98552835.sb;98598026.sb;1455;771;476;208
98589387.sb;98598032.sb;0;0;0;0
98596134.sb;98598070.sb;172;67;67;38
98595303.sb;98598088.sb;0;0;0;0
98590909.sb;98598320.sb;814;413;308;93
98463219.sb;98598377.sb;230;124;82;24
98570490.sb;98598506.sb;0;0;0;0
98597658.sb;98598527.sb;8;2;6;0
98597047.sb;98598561.sb;895;426;426;43
98597021.sb;98598614.sb;8;1;5;2
98593250.sb;98598668.sb;661;288;245;128
98597180.sb;98598702.sb;0;0;0;0
98463219.sb;98598773.sb;230;124;82;24
98598506.sb;98598994.sb;1;0;1;0
98589559.sb;98599047.sb;56;28;28;0
98596218.sb;98599091.sb;7;3;3;1
98519670.sb;98599162.sb;0;0;0;0
99019286.sb;99544359.sb;0;0;0;0
98581344.sb;98599437.sb;0;0;0;0
98530124.sb;98599503.sb;24;11;7;6
98594907.sb;98599557.sb;20;3;16;1
98598614.sb;98599574.sb;13;5;6;2
98562977.sb;98599597.sb;0;0;0;0
98557626.sb;98599747.sb;0;0;0;0
99544019.sb;99545946.sb;172;67;67;38
98598527.sb;98599833.sb;52;6;39;7
98183603.sb;98599856.sb;0;0;0;0
98598994.sb;98599980.sb;2;1;1;0
98593776.sb;98599998.sb;0;0;0;0
98597923.sb;98600387.sb;0;0;0;0
98599980.sb;98600567.sb;2;1;1;0
98600567.sb;98600773.sb;5;1;4;0
98584569.sb;98600951.sb;0;0;0;0
98599156.sb;98601330.sb;0;0;0;0
98570842.sb;98601345.sb;17;4;10;3
98588680.sb;98601460.sb;0;0;0;0
92298012.sb;98601517.sb;0;0;0;0
98557941.sb;98601558.sb;0;0;0;0
98580018.sb;98601635.sb;22;10;10;2
98531697.sb;98601670.sb;0;0;0;0
