Original;Remix;Total;Clones_Original;Clones_Only_Remix;Clones_Between_Projects
98531122.sb;98555800.sb;0;0;0;0
98535154.sb;98555891.sb;2;1;1;0
98539964.sb;98555969.sb;0;0;0;0
98548238.sb;98556128.sb;0;0;0;0
98553128.sb;98556137.sb;0;0;0;0
98553973.sb;98556243.sb;0;0;0;0
98553638.sb;98556249.sb;0;0;0;0
98553338.sb;98556265.sb;6;0;5;1
98553971.sb;98556341.sb;0;0;0;0
98553530.sb;98556350.sb;3;0;3;0
98553219.sb;98556435.sb;9;0;9;0
98553728.sb;98556631.sb;0;0;0;0
98540446.sb;98556721.sb;172;67;68;37
98538407.sb;98556727.sb;98;41;41;16
97806342.sb;98556871.sb;2234;2052;157;25
98508032.sb;98556936.sb;36;10;14;12
98363571.sb;98556941.sb;10;4;5;1
98552988.sb;98557434.sb;0;0;0;0
98412638.sb;98557563.sb;0;0;0;0
98540073.sb;98557891.sb;120;44;59;17
98557568.sb;98558036.sb;2;1;1;0
98554037.sb;98558282.sb;0;0;0;0
98507495.sb;98558519.sb;2;1;1;0
98553040.sb;98558603.sb;0;0;0;0
98546484.sb;98558678.sb;14;7;7;0
96395377.sb;98558765.sb;14;7;7;0
98554325.sb;98558800.sb;0;0;0;0
98555989.sb;98558844.sb;6;3;3;0
98552048.sb;98558846.sb;8;3;3;2
98554921.sb;98559127.sb;0;0;0;0
98515682.sb;98559342.sb;0;0;0;0
98554921.sb;98559395.sb;0;0;0;0
98391693.sb;98559558.sb;0;0;0;0
98554921.sb;98559673.sb;0;0;0;0
98538738.sb;98560239.sb;0;0;0;0
98149011.sb;98560387.sb;25;11;13;1
98490353.sb;98560629.sb;19;19;0;0
98559398.sb;98560631.sb;0;0;0;0
98554654.sb;98560661.sb;0;0;0;0
98213791.sb;98560692.sb;0;0;0;0
98556450.sb;98560830.sb;0;0;0;0
98558800.sb;98560840.sb;0;0;0;0
98560840.sb;98560973.sb;0;0;0;0
98547402.sb;98560998.sb;0;0;0;0
98479140.sb;98561117.sb;89;58;23;8
98560973.sb;98561173.sb;0;0;0;0
98560551.sb;98561330.sb;22;7;9;6
98439949.sb;98561355.sb;58;25;24;9
98561330.sb;98561594.sb;25;9;9;7
98557626.sb;98561658.sb;0;0;0;0
98560387.sb;98561771.sb;28;13;14;1
98560477.sb;98561905.sb;57;25;25;7
96798781.sb;98562085.sb;71;50;12;9
98555148.sb;98562099.sb;503;255;158;90
98559466.sb;98562161.sb;0;0;0;0
98561032.sb;98562184.sb;0;0;0;0
98561594.sb;98562221.sb;27;9;10;8
98555577.sb;98562298.sb;744;624;22;98
98562221.sb;98562500.sb;29;10;12;7
98562500.sb;98562631.sb;34;12;12;10
98136448.sb;98562698.sb;2;1;1;0
98559601.sb;98562704.sb;23;8;8;7
98561790.sb;98562705.sb;195;5;156;34
98561837.sb;98562714.sb;0;0;0;0
98558447.sb;98562774.sb;0;0;0;0
98558876.sb;98562787.sb;0;0;0;0
98558054.sb;98562790.sb;0;0;0;0
98531423.sb;98563167.sb;246;139;70;37
98136448.sb;98563209.sb;2;1;1;0
98562631.sb;98563336.sb;39;15;15;9
98507316.sb;98563355.sb;0;0;0;0
98563209.sb;98563404.sb;1;1;0;0
98515645.sb;98563469.sb;21;0;21;0
98543375.sb;98563524.sb;0;0;0;0
98561173.sb;98563618.sb;0;0;0;0
98563352.sb;98563658.sb;394;285;45;64
98554921.sb;98563748.sb;0;0;0;0
98563336.sb;98563751.sb;39;15;15;9
98517746.sb;98563864.sb;74;29;28;17
98563618.sb;98563882.sb;0;0;0;0
98559446.sb;98563925.sb;512;212;159;141
98507215.sb;98563928.sb;0;0;0;0
98563751.sb;98563930.sb;39;15;13;11
98494535.sb;98564018.sb;1086;612;259;215
98563658.sb;98564067.sb;647;292;292;63
98562227.sb;98564073.sb;0;0;0;0
98560396.sb;98564116.sb;157;96;41;20
98563930.sb;98564120.sb;47;19;15;13
98563658.sb;98564217.sb;647;292;292;63
98563610.sb;98564283.sb;16;4;10;2
98508857.sb;98564298.sb;1188;882;251;55
98561563.sb;98564317.sb;7;0;7;0
98562977.sb;98564354.sb;0;0;0;0
98563167.sb;98564395.sb;272;140;87;45
98561563.sb;98564407.sb;0;0;0;0
98564283.sb;98564518.sb;22;10;10;2
98548351.sb;98564560.sb;253;113;95;45
98527851.sb;98564624.sb;0;0;0;0
98564560.sb;98564664.sb;268;113;116;39
98564120.sb;98564679.sb;70;25;34;11
