Original;Remix;Total;Clones_Original;Clones_Only_Remix;Clones_Between_Projects
98613568.sb;98615183.sb;79;42;10;27
98612989.sb;98615284.sb;0;0;0;0
98611835.sb;98615621.sb;0;0;0;0
98614799.sb;98615654.sb;67;39;16;12
98433971.sb;98615715.sb;6;5;1;0
98615621.sb;98615819.sb;0;0;0;0
98560938.sb;98615903.sb;0;0;0;0
98605418.sb;98615976.sb;214;203;0;11
98611835.sb;98615980.sb;0;0;0;0
98615819.sb;98616015.sb;0;0;0;0
98612070.sb;98616039.sb;0;0;0;0
98616015.sb;98616212.sb;0;0;0;0
98587127.sb;98616250.sb;1329;459;692;178
98606146.sb;98616252.sb;79;33;33;13
97011990.sb;98616268.sb;0;0;0;0
98600522.sb;98616285.sb;0;0;0;0
98614178.sb;98616297.sb;0;0;0;0
98616015.sb;98616333.sb;0;0;0;0
98603356.sb;98616366.sb;13;4;6;3
98616212.sb;98616598.sb;0;0;0;0
98549059.sb;98616622.sb;616;268;266;82
98567230.sb;98616669.sb;208;90;86;32
98610356.sb;98616780.sb;57;9;34;14
98605360.sb;98616942.sb;121;91;17;13
93522843.sb;98616954.sb;0;0;0;0
98616598.sb;98616998.sb;0;0;0;0
98614530.sb;98617000.sb;0;0;0;0
98601906.sb;98617014.sb;0;0;0;0
98616268.sb;98617111.sb;0;0;0;0
98614079.sb;98617206.sb;406;186;161;59
98616998.sb;98617230.sb;0;0;0;0
98570633.sb;98617240.sb;0;0;0;0
98616780.sb;98617321.sb;79;34;32;13
98617230.sb;98617339.sb;0;0;0;0
98614636.sb;98617343.sb;9;0;6;3
98560855.sb;98617396.sb;388;192;114;82
98520189.sb;98617453.sb;0;0;0;0
98584400.sb;98617463.sb;0;0;0;0
98544676.sb;98617552.sb;664;436;112;116
98617339.sb;98617568.sb;0;0;0;0
98600518.sb;98617750.sb;0;0;0;0
98509260.sb;98617901.sb;0;0;0;0
98617484.sb;98617964.sb;0;0;0;0
98614594.sb;98618028.sb;0;0;0;0
98615883.sb;98618034.sb;26;3;19;4
98615890.sb;98618094.sb;0;0;0;0
98612601.sb;98618132.sb;0;0;0;0
98612444.sb;98618151.sb;0;0;0;0
98617636.sb;98618262.sb;0;0;0;0
98614594.sb;98618311.sb;0;0;0;0
98614776.sb;98618403.sb;130;67;7;56
98616039.sb;98618406.sb;0;0;0;0
98087947.sb;98618566.sb;0;0;0;0
98569080.sb;98618645.sb;0;0;0;0
98614594.sb;98618652.sb;0;0;0;0
98617238.sb;98618677.sb;9;2;4;3
98573824.sb;98618766.sb;2;1;0;1
98618576.sb;98618969.sb;66;23;23;20
98618652.sb;98619016.sb;0;0;0;0
98544796.sb;98619019.sb;2;1;1;0
98615654.sb;98619032.sb;70;41;17;12
98618151.sb;98619091.sb;0;0;0;0
98578012.sb;98619217.sb;94;33;46;15
97334145.sb;98619260.sb;48;23;23;2
98617463.sb;98619552.sb;0;0;0;0
98554387.sb;98619633.sb;0;0;0;0
95181485.sb;98619699.sb;0;0;0;0
98619032.sb;98619821.sb;71;42;17;12
98570526.sb;98619930.sb;0;0;0;0
98618969.sb;98619972.sb;66;23;23;20
98619571.sb;98620107.sb;0;0;0;0
98614129.sb;98620111.sb;95;66;11;18
98619821.sb;98620156.sb;73;42;19;12
98619972.sb;98620330.sb;66;23;23;20
98570060.sb;98620574.sb;10;2;5;3
98570060.sb;98620583.sb;5;2;3;0
98619930.sb;98620774.sb;0;0;0;0
98620156.sb;98620828.sb;75;44;19;12
98619091.sb;98620864.sb;0;0;0;0
98570526.sb;98620917.sb;0;0;0;0
98610730.sb;98620926.sb;0;0;0;0
98620388.sb;98620998.sb;0;0;0;0
98617238.sb;98621039.sb;10;2;4;4
98620774.sb;98621071.sb;0;0;0;0
98557307.sb;98621217.sb;4;2;2;0
98620828.sb;98621246.sb;75;44;19;12
98617568.sb;98621269.sb;0;0;0;0
98603123.sb;98621536.sb;0;0;0;0
98617968.sb;98621605.sb;0;0;0;0
98620754.sb;98621612.sb;0;0;0;0
98552644.sb;98621677.sb;9;9;0;0
98617622.sb;98621710.sb;0;0;0;0
98619364.sb;98621784.sb;1;1;0;0
98547066.sb;98621796.sb;1;0;1;0
98614129.sb;98621826.sb;90;66;12;12
98620917.sb;98621888.sb;0;0;0;0
98621246.sb;98621912.sb;75;44;19;12
98602660.sb;98621926.sb;18;9;7;2
98617238.sb;98622012.sb;9;2;4;3
98569822.sb;98622056.sb;75;7;51;17
