Original;Remix;Total;Clones_Original;Clones_Only_Remix;Clones_Between_Projects
98575572.sb;98577236.sb;51;0;51;0
98574272.sb;98577258.sb;4;3;1;0
98552644.sb;98577511.sb;9;9;0;0
98575263.sb;98577631.sb;6;2;2;2
98295299.sb;98577664.sb;1;1;0;0
98577097.sb;98577735.sb;2;1;1;0
98577485.sb;98577758.sb;25;9;11;5
98577656.sb;98577876.sb;3;1;1;1
98454278.sb;98577977.sb;34;18;14;2
98575840.sb;98578037.sb;27;12;13;2
98463219.sb;98578059.sb;230;124;82;24
98543103.sb;98578218.sb;6;0;6;0
98543103.sb;98578226.sb;167;0;166;1
98577758.sb;98578376.sb;40;11;20;9
98578334.sb;98578709.sb;24;10;13;1
96944146.sb;98578717.sb;17;9;7;1
98543103.sb;98578882.sb;120;0;118;2
98576418.sb;98579427.sb;0;0;0;0
98569837.sb;98580220.sb;514;99;208;207
98400656.sb;98581704.sb;218;4;213;1
98463219.sb;98581988.sb;230;124;82;24
98463219.sb;98582361.sb;230;124;82;24
98544046.sb;98583433.sb;0;0;0;0
98576308.sb;98583801.sb;0;0;0;0
98518789.sb;98583932.sb;0;0;0;0
98518789.sb;98583934.sb;1;0;1;0
98518789.sb;98583968.sb;0;0;0;0
98569717.sb;98584063.sb;0;0;0;0
98581344.sb;98584161.sb;0;0;0;0
98488631.sb;98584169.sb;2;1;1;0
98570960.sb;98584258.sb;0;0;0;0
98563011.sb;98584543.sb;70;35;33;2
98518789.sb;98585062.sb;0;0;0;0
98577252.sb;98585072.sb;148;90;39;19
98578157.sb;98585545.sb;14;7;7;0
98577643.sb;98585631.sb;13;6;6;1
98584096.sb;98585795.sb;7;3;3;1
98569675.sb;98585947.sb;1;0;1;0
98578334.sb;98586331.sb;23;10;12;1
98578675.sb;98586676.sb;0;0;0;0
98570115.sb;98586805.sb;13;5;5;3
98584927.sb;98587080.sb;5;2;2;1
98454101.sb;98587127.sb;730;267;375;88
98583127.sb;98587502.sb;0;0;0;0
98578157.sb;98587627.sb;16;7;8;1
98584927.sb;98588857.sb;2;2;0;0
98588172.sb;98589054.sb;94;54;26;14
98555969.sb;98589097.sb;0;0;0;0
98580545.sb;98589201.sb;10;4;6;0
98556721.sb;98589219.sb;173;68;68;37
98589219.sb;98589420.sb;173;68;68;37
98589420.sb;98589463.sb;173;68;68;37
98589390.sb;98589468.sb;7;2;5;0
98280873.sb;98589489.sb;0;0;0;0
98585756.sb;98589527.sb;23;8;8;7
98548918.sb;98589603.sb;21;10;10;1
98016052.sb;98589830.sb;100;42;42;16
98585756.sb;98589844.sb;27;8;13;6
98507847.sb;98589953.sb;0;0;0;0
98557568.sb;98590041.sb;2;1;1;0
98554387.sb;98590256.sb;0;0;0;0
98377007.sb;98590384.sb;36;26;9;1
98589201.sb;98590569.sb;15;6;8;1
98570132.sb;98590746.sb;710;342;292;76
98569689.sb;98590794.sb;202;81;79;42
98586135.sb;98590860.sb;3;1;2;0
98589751.sb;98590909.sb;813;412;308;93
98574812.sb;98590916.sb;0;0;0;0
98584181.sb;98591399.sb;1800;1672;51;77
98591194.sb;98591631.sb;4;2;2;0
98591631.sb;98591673.sb;6;2;4;0
98587558.sb;98591674.sb;0;0;0;0
98363571.sb;98591688.sb;9;4;4;1
98589201.sb;98591710.sb;13;6;7;0
98591194.sb;98592296.sb;4;2;2;0
98520686.sb;98592420.sb;54;18;18;18
98480056.sb;98592495.sb;10;7;3;0
98463219.sb;98592548.sb;230;124;82;24
98584258.sb;98592553.sb;0;0;0;0
98514037.sb;98592651.sb;215;86;86;43
98591673.sb;98592906.sb;64;4;59;1
98592906.sb;98592991.sb;79;59;7;13
98501880.sb;98593027.sb;0;0;0;0
98513668.sb;98593250.sb;650;288;234;128
98463219.sb;98593295.sb;231;124;83;24
98591940.sb;98593357.sb;86;37;37;12
98589463.sb;98593689.sb;172;68;67;37
98517305.sb;98593747.sb;0;0;0;0
98593689.sb;98593858.sb;172;67;67;38
98569361.sb;98593865.sb;0;0;0;0
98592991.sb;98593965.sb;84;61;10;13
98593938.sb;98593969.sb;5;2;2;1
98593858.sb;98593989.sb;172;67;67;38
98537052.sb;98594101.sb;1;0;1;0
98571486.sb;98594121.sb;25;14;7;4
98593989.sb;98594124.sb;172;67;67;38
98594124.sb;98594184.sb;172;67;67;38
98593178.sb;98594214.sb;20;6;11;3
98594184.sb;98594233.sb;172;67;67;38
98594233.sb;98594278.sb;172;67;67;38
