Original;Remix;Total;Clones_Original;Clones_Only_Remix;Clones_Between_Projects
98560855.sb;98564687.sb;362;192;95;75
98552644.sb;98565017.sb;24;9;9;6
98561781.sb;98565034.sb;0;0;0;0
98558328.sb;98565152.sb;0;0;0;0
98564395.sb;98565174.sb;292;157;87;48
98564457.sb;98565274.sb;2;1;1;0
98564679.sb;98565349.sb;85;34;34;17
98552644.sb;98565774.sb;9;9;0;0
98565349.sb;98565954.sb;83;34;34;15
98280873.sb;98565986.sb;1;0;1;0
98552644.sb;98566068.sb;9;9;0;0
98558036.sb;98566253.sb;4;1;2;1
98563882.sb;98566310.sb;0;0;0;0
97455019.sb;98566492.sb;274;122;126;26
98279491.sb;98566531.sb;0;0;0;0
98280873.sb;98566561.sb;0;0;0;0
98467674.sb;98566929.sb;22;8;8;6
98565774.sb;98566942.sb;0;0;0;0
98552644.sb;98566969.sb;9;9;0;0
98566310.sb;98567022.sb;0;0;0;0
98554921.sb;98567161.sb;0;0;0;0
98566310.sb;98567210.sb;0;0;0;0
98564835.sb;98567230.sb;153;45;75;33
98279491.sb;98567302.sb;0;0;0;0
98552644.sb;98567443.sb;11;9;2;0
98416819.sb;98567771.sb;2;1;1;0
98529768.sb;98567873.sb;0;0;0;0
97828454.sb;98567878.sb;0;0;0;0
98556112.sb;98567880.sb;55;23;26;6
98557626.sb;98567957.sb;0;0;0;0
98562977.sb;98568052.sb;0;0;0;0
98496148.sb;98568406.sb;9;3;6;0
98472568.sb;98568458.sb;379;203;124;52
98414647.sb;98568636.sb;0;0;0;0
98554921.sb;98568943.sb;0;0;0;0
98507847.sb;98568978.sb;0;0;0;0
98532294.sb;98569145.sb;2;1;1;0
98556073.sb;98569201.sb;37;23;11;3
98561771.sb;98569460.sb;32;14;16;2
98560465.sb;98569527.sb;0;0;0;0
98552644.sb;98569676.sb;9;9;0;0
98562927.sb;98569748.sb;0;0;0;0
98569532.sb;98569798.sb;3;0;3;0
98119850.sb;98569822.sb;10;3;7;0
98549362.sb;98569905.sb;83;28;28;27
98565034.sb;98569908.sb;0;0;0;0
98569798.sb;98570031.sb;8;3;3;2
98570031.sb;98570085.sb;8;3;3;2
98570085.sb;98570363.sb;9;3;4;2
98570363.sb;98570437.sb;10;4;4;2
98564146.sb;98570490.sb;0;0;0;0
98529746.sb;98570550.sb;179;62;76;41
98541213.sb;98570591.sb;0;0;0;0
98458910.sb;98570730.sb;1;1;0;0
98570271.sb;98570755.sb;0;0;0;0
98559755.sb;98570769.sb;135;104;0;31
98565719.sb;98570789.sb;0;0;0;0
98570437.sb;98570792.sb;10;4;4;2
98570792.sb;98570842.sb;10;4;4;2
98569460.sb;98570878.sb;44;16;23;5
98143403.sb;98570936.sb;61;45;14;2
98559446.sb;98571034.sb;512;212;159;141
98564457.sb;98571085.sb;2;1;1;0
98552644.sb;98571156.sb;9;9;0;0
98570878.sb;98571283.sb;82;23;47;12
98563739.sb;98571469.sb;182;97;38;47
98566091.sb;98571486.sb;15;1;14;0
98569673.sb;98571589.sb;2;1;1;0
98556936.sb;98571812.sb;50;17;22;11
98570271.sb;98571827.sb;0;0;0;0
98569530.sb;98571944.sb;35;0;35;0
98569361.sb;98571955.sb;0;0;0;0
98571283.sb;98572004.sb;108;47;48;13
98569803.sb;98572031.sb;0;0;0;0
98556941.sb;98572151.sb;12;5;6;1
98499954.sb;98572274.sb;0;0;0;0
98500803.sb;98572434.sb;16;15;1;0
98570040.sb;98572461.sb;22;11;11;0
98506392.sb;98572593.sb;0;0;0;0
98328339.sb;98572952.sb;44;20;20;4
98557987.sb;98573188.sb;0;0;0;0
98536503.sb;98573239.sb;0;0;0;0
98572004.sb;98573365.sb;125;64;50;11
98563739.sb;98573549.sb;181;97;37;47
98563739.sb;98573753.sb;182;97;38;47
98280873.sb;98573852.sb;0;0;0;0
98565706.sb;98573938.sb;0;0;0;0
98573786.sb;98574018.sb;0;0;0;0
98566492.sb;98574627.sb;281;130;119;32
98508775.sb;98575208.sb;0;0;0;0
98568505.sb;98575496.sb;94;86;7;1
98558613.sb;98575996.sb;6;6;0;0
98544370.sb;98576319.sb;0;0;0;0
98552644.sb;98576545.sb;9;9;0;0
98573789.sb;98576572.sb;0;0;0;0
98567966.sb;98576868.sb;72;30;32;10
98576796.sb;98576928.sb;0;0;0;0
98574358.sb;98577097.sb;2;1;1;0
98574812.sb;98577161.sb;0;0;0;0
98565719.sb;98577216.sb;0;0;0;0
