Original;Remix;Total;Clones_Original;Clones_Only_Remix;Clones_Between_Projects
98569822.sb;98622056.sb;75;7;51;17
98605771.sb;98622086.sb;0;0;0;0
98620338.sb;98622122.sb;167;59;86;22
98621912.sb;98622180.sb;76;44;20;12
98621605.sb;98622282.sb;0;0;0;0
98618406.sb;98622298.sb;0;0;0;0
98621269.sb;98622361.sb;0;0;0;0
98580472.sb;98622436.sb;74;37;37;0
98520447.sb;98622552.sb;146;57;67;22
98622180.sb;98622569.sb;77;45;20;12
98618024.sb;98622600.sb;66;37;23;6
98618591.sb;98622603.sb;0;0;0;0
98620864.sb;98622674.sb;0;0;0;0
98611671.sb;98622677.sb;155;71;70;14
98619956.sb;98622789.sb;0;0;0;0
98615590.sb;98622851.sb;9;3;3;3
98000522.sb;98622908.sb;519;274;152;93
98617445.sb;98622916.sb;0;0;0;0
98619304.sb;98622919.sb;0;0;0;0
98615275.sb;98622922.sb;29;0;29;0
98606195.sb;98623049.sb;52;0;52;0
98622569.sb;98623106.sb;81;45;23;13
98545668.sb;98623114.sb;0;0;0;0
98612565.sb;98623206.sb;2;0;2;0
98622282.sb;98623213.sb;0;0;0;0
98621612.sb;98623216.sb;0;0;0;0
98619155.sb;98623307.sb;19;2;17;0
98617445.sb;98623342.sb;0;0;0;0
98615275.sb;98623354.sb;0;0;0;0
98618591.sb;98623429.sb;1;0;1;0
97615049.sb;98623445.sb;0;0;0;0
98671910.sb;99785654.sb;2;1;1;0
98615275.sb;98623523.sb;55;0;55;0
98615736.sb;98623667.sb;15;3;12;0
98615882.sb;98623727.sb;0;0;0;0
98569824.sb;98623736.sb;0;0;0;0
98614564.sb;98623789.sb;0;0;0;0
98429670.sb;98623796.sb;21;7;14;0
98620630.sb;98623897.sb;0;0;0;0
98552644.sb;98623960.sb;9;9;0;0
98623213.sb;98623987.sb;0;0;0;0
98619439.sb;98623991.sb;46;29;9;8
98410670.sb;98624013.sb;0;0;0;0
98615275.sb;98624126.sb;1144;0;1144;0
98623897.sb;98624171.sb;2;0;2;0
98557174.sb;98624231.sb;4;2;2;0
98622059.sb;98624238.sb;22;8;8;6
98530966.sb;98624258.sb;0;0;0;0
98510743.sb;98624259.sb;8;3;3;2
98624171.sb;98624289.sb;4;2;2;0
98597527.sb;98624290.sb;0;0;0;0
98624290.sb;98624366.sb;0;0;0;0
98478076.sb;98624422.sb;0;0;0;0
98624194.sb;98624444.sb;0;0;0;0
98624289.sb;98624520.sb;4;2;2;0
98622122.sb;98624543.sb;264;86;139;39
98624520.sb;98624618.sb;4;2;2;0
98615798.sb;98624710.sb;4;2;2;0
98623394.sb;98624896.sb;0;0;0;0
98575195.sb;98624988.sb;0;0;0;0
99699595.sb;99784369.sb;0;0;0;0
98623491.sb;98625202.sb;65;29;34;2
98611221.sb;98625215.sb;232;156;44;32
98624659.sb;98625240.sb;59;27;29;3
98615890.sb;98625405.sb;0;0;0;0
98625240.sb;98625527.sb;64;29;31;4
98612866.sb;98625547.sb;146;67;79;0
98621015.sb;98625571.sb;0;0;0;0
98597935.sb;98625581.sb;0;0;0;0
98623727.sb;98625738.sb;0;0;0;0
98598861.sb;98625919.sb;552;276;208;68
98625202.sb;98625950.sb;74;34;39;1
98624618.sb;98626076.sb;4;2;2;0
98110207.sb;98626111.sb;28;14;5;9
98625527.sb;98626203.sb;70;31;35;4
98557174.sb;98626233.sb;4;2;2;0
98626076.sb;98626277.sb;4;2;2;0
98624444.sb;98626309.sb;0;0;0;0
98563524.sb;98626418.sb;0;0;0;0
98626277.sb;98626430.sb;4;2;2;0
98626203.sb;98626479.sb;83;35;43;5
98626058.sb;98626574.sb;0;0;0;0
98626309.sb;98626717.sb;0;0;0;0
97334145.sb;98626822.sb;48;23;23;2
98619343.sb;98626825.sb;0;0;0;0
98626430.sb;98626848.sb;6;2;4;0
98626479.sb;98626930.sb;93;43;46;4
98611764.sb;98626972.sb;0;0;0;0
98623394.sb;98626996.sb;0;0;0;0
98608145.sb;98627073.sb;106;18;76;12
98626930.sb;98627085.sb;100;46;50;4
98610063.sb;98627108.sb;350;157;133;60
98605418.sb;98627127.sb;216;203;11;2
98572778.sb;98627201.sb;0;0;0;0
98448123.sb;98627213.sb;0;0;0;0
98590569.sb;98627222.sb;25;11;14;0
98620754.sb;98627302.sb;0;0;0;0
98626848.sb;98627392.sb;10;4;6;0
98620246.sb;98627427.sb;295;226;64;5
98611651.sb;98627428.sb;172;67;67;38
